epoch,phase,node0_memfree_kb,global_memavailable_kb,top_py_pid,top_py_vmrss_kb
1785935741,p348,12246272,709709248,0,0
1785935745,p348,12290816,709759424,0,0
1785935748,p348,12334336,709823040,0,0
1785935752,p348,12090816,709594304,0,0
1785935756,p348,12000128,709167360,0,0
1785935760,p348,12001728,708799744,0,0
1785935764,p348,12003328,708563008,0,0
1785935768,p348,12005056,708377216,0,0
1785935772,p348,12005696,708093632,0,0
1785935776,p348,12007424,707833408,0,0
1785935780,p348,12011392,707775104,0,0
1785935784,p348,12014272,707801536,0,0
1785935788,p348,12036736,707748800,0,0
1785935791,p348,12007424,707649536,0,0
1785935795,p348,12008384,707570688,0,0
1785935799,p348,12009216,707432000,0,0
1785935803,p348,12010176,707132736,0,0
1785935807,p348,12011328,707128832,0,0
1785935811,p348,12013056,707133888,0,0
1785935815,p348,12014016,707321536,0,0
1785935819,p348,12015552,707386496,0,0
1785935823,p348,12016384,707601728,0,0
1785935827,p348,12017152,707491200,0,0
1785935831,p348,12019648,707304512,0,0
1785935835,p348,12016128,707130880,0,0
1785935838,p348,12016576,707089792,0,0
1785935842,p348,12017856,707139200,0,0
1785935846,p348,12132352,707228416,0,0
1785935849,p348,12068160,707185664,0,0
1785935853,p348,12126208,707251776,0,0
1785935857,p348,12010816,707160320,0,0
1785935861,p348,15492096,711941952,0,0
1785935864,p348,15020096,710643840,0,0
1785935868,p348,14702720,709577920,0,0
1785935872,p348,14289088,708550016,0,0
1785935875,p348,13916672,707724160,0,0
1785935879,p348,12682368,706418880,0,0
1785935882,p348,14938240,708558144,0,0
1785935886,p348,14509376,707082944,0,0
1785935890,p348,14353664,706163136,0,0
1785935893,p348,14321280,705561152,0,0
1785935897,p348,14156736,705091200,0,0
1785935901,p348,13951104,704599616,0,0
1785935904,p348,13872320,704290560,0,0
1785935908,p348,13678592,703940288,0,0
1785935912,p348,13501440,703756992,0,0
1785935915,p348,13430848,703651136,0,0
1785935919,p348,13344000,703539008,0,0
1785935923,p348,13423808,703681600,0,0
