epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785943965,f2t3_368000,485507712,1690029760,2805760
1785943967,f2t3_368000,485509824,1689550784,2916352
1785943969,f2t3_368000,485512128,1689179200,3045376
1785943971,f2t3_368000,485512320,1688682176,3137536
1785943973,f2t3_368000,485512960,1688311040,3266560
1785943975,f2t3_368000,485515456,1687974464,3358720
1785943977,f2t3_368000,485515712,1687620480,3469312
1785943979,f2t3_368000,485519168,1687270400,3579904
1785943981,f2t3_368000,485517632,1686921664,3690496
1785943983,f2t3_368000,485508224,1686526272,3801088
1785943985,f2t3_368000,485511168,1685844608,4111360
1785943987,f2t3_368000,485510400,1683404288,4773056
1785943989,f2t3_368000,485513280,1682698624,4800960
1785943991,f2t3_368000,485516608,1682267968,5091584
1785943993,f2t3_368000,485518144,1687401600,5148416
1785943996,f2t3_368000,485523136,1696826048,1284096
1785943998,f2t3_368000,451734272,1653435328,69713664
1785944000,f2t3_368000,412555456,1611159040,143804288
1785944002,f2t3_368000,373615552,1572419904,216353984
1785944004,f2t3_368000,336662592,1534660928,290454720
1785944006,f2t3_368000,297211968,1495904256,365315520
1785944008,f2t3_368000,260587392,1459702784,439797248
1785944010,f2t3_368000,221623232,1421639360,516856640
1785944012,f2t3_368000,214678144,1414779904,527290880
1785944014,f2t3_368000,217032128,1406499072,535251200
1785944016,f2t3_368000,223947904,1406848832,534140480
1785944018,f2t3_368000,228254848,1399967488,541405376
1785944020,f2t3_368000,232603712,1396280832,546034560
1785944022,f2t3_368000,237125568,1390932928,550110784
1785944024,f2t3_368000,244259648,1391399552,549976640
1785944026,f2t3_368000,249041728,1383399552,558255360
1785944028,f2t3_368000,256155264,1383156032,556867840
1785944031,f2t3_368000,260725568,1377097984,564330816
1785944033,f2t3_368000,265511232,1370978944,569689536
1785944035,f2t3_368000,272625856,1372195072,568382272
1785944037,f2t3_368000,277390080,1363211008,577962048
1785944039,f2t3_368000,284474496,1363067584,576536448
1785944041,f2t3_368000,289234496,1356398272,584031168
1785944043,f2t3_368000,296294464,1354821248,584671232
1785944045,f2t3_368000,300703296,1345900928,594276992
1785944047,f2t3_368000,307494720,1342950144,597055040
1785944049,f2t3_368000,314327936,1341272128,597768832
1785944051,f2t3_368000,318929856,1332480576,602740288
1785944053,f2t3_368000,325880448,1328660864,612362496
1785944055,f2t3_368000,331819264,1326157824,613850432
1785944057,f2t3_368000,328154752,1324707264,614260032
1785944059,f2t3_368000,323250048,1317583104,622251712
1785944061,f2t3_368000,323118912,1319701632,619190272
1785944063,f2t3_368000,322859776,1319443264,619190272
