epoch,cpu_total_avail_gib,node0_avail_gib,node1_avail_gib
1783486372,35,17,18
1783486392,118,96,22
1783486412,924,462,461
1783486432,924,462,461
1783486452,923,462,461
1783486472,923,461,461
1783486492,919,457,462
1783486512,867,404,463
1783486532,801,340,461
1783486552,798,340,458
1783486572,798,340,458
1783486592,794,334,459
1783486612,788,326,461
1783486632,781,319,461
1783486652,745,285,460
